opcode,latitude_dd,longitude_dd,status,date_raw,time_raw,date_time,site,location,depth_m,uwa_con_number,status_x,commonwealth_zone,state_zone,observer_count,observer_length,successful_count,successful_length,curtin_length_analyst,uwa_length_analyst,Ryan Target Species MaxN Check,Ryan Check Comments,maxn_complete_date,maxn_checker,curtin_observer,uwa_observer,left_cam,right_cam,video_notes,con_hdd_number,raw_hdd_number,forwards_habitat_image_saved,vis_in_metres,habitat_classification,length_complete_date,comment,old_dates,post_cal,inclusion_probabilities
1,-33.3635,115.2142,Fished,2014-12-10,13:20:00,2014-12-10T13:20:00+08:00,Geographe Bay,Geographe Bay,40,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200623,Brooke Gibbons & Claude,Lizzy,Hayley,13,14,Y,1,,,,,20220719,,23.06.20,,0.006974
2,-33.4405,115.101,Fished,2014-12-10,06:29:00,2014-12-10T06:29:00+08:00,Geographe Bay,Geographe Bay,40.5,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Test video ,Molly,Yes,Yes,Laura,Molly,Yes,,20220622,Brooke Gibbons & Claude,Lizzy,Test video ,15,16,y,1,,,,,20220720,,,,0.006974
3,-33.4921,115.3549,Fished,2014-12-13,08:41:00,2014-12-13T08:41:00+08:00,Geographe Bay,Geographe Bay,24.8,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,Yes,Damo,Molly,Yes,,20200625,Brooke Gibbons & Claude,Lizzy,Hayley ,15,16,,3,,,,,20220720,Right out early,25.06.20,,0.006974
4,-33.3921,115.2281,Fished,2014-12-10,14:13:00,2014-12-10T14:13:00+08:00,Geographe Bay,Geographe Bay,38.4,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,No,Tamy,Molly,Yes,"Calibrations too bad to get any measurements or 3D points, changed successful length to 'No'",20200625,Brooke Gibbons & Claude,Lizzy,Hayley ,11,12,Y,2,,,,,20220720,,25.06.20,Y,0.006974
5,-33.3628,115.455,Fished,2014-12-11,09:43:00,2014-12-11T09:43:00+08:00,Geographe Bay,Geographe Bay,25.7,1,Fished,Special Purpose Zone (Mining Exclusion),NA,test video,Molly,Yes,Yes,Ronen,Molly,Yes,,20220622,Claude,Lizzy,test video,23,24,Y,1,,,,,20220720,,,,0.006974
6,-33.4071,115.1204,Fished,2014-12-10,07:55:00,2014-12-10T07:55:00+08:00,Geographe Bay,Geographe Bay,41.8,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,Yes,Laura,Molly,Yes,,20200625,Brooke Gibbons & Claude,Lizzy,Hayley ,25,26,Y,1,,,,,20220720,,25.06.20,,0.006974
7,-33.4205,115.4457,Fished,2014-12-13,11:04:00,2014-12-13T11:04:00+08:00,Geographe Bay,Geographe Bay,23.2,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,Yes,Damon,Molly,Yes,,20200819,Brooke Gibbons & Claude,Lizzy,Logan,11,12,,5,,,,,20220720,,19.08.20,Y,0.006974
9,-33.3643,115.1361,Fished,2014-12-10,10:04:00,2014-12-10T10:04:00+08:00,Geographe Bay,Geographe Bay,41.8,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Molly,N/A,Yes,No,N/A,,Yes,,20220711,Claude,Lauren,Molly,25,26,R cam cut out on seabed,2,,,,,,did not film sheet,,,0.006974
10,-33.5282,115.3313,Fished,2014-12-12,10:48:00,2014-12-12T10:48:00+08:00,Geographe Bay,Geographe Bay,22.7,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,No,Ronen,Molly,Yes,,20200626,Brooke Gibbons & Claude,Lauren,Hayley ,21,22,,1,,,,,20220720,,26.06.20,,0.006974
11,-33.5712,115.2958,Fished,2014-12-12,08:59:00,2014-12-12T08:59:00+08:00,Geographe Bay,Geographe Bay,21.7,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,Yes,Tamy,Molly,Yes,,20200629,Brooke Gibbons & Claude,Lauren,Hayley ,13,14,,2,,,,,20220720,,29.06.20,,0.006974
12,-33.404,115.2616,Fished,2014-12-10,14:00:00,2014-12-10T14:00:00+08:00,Geographe Bay,Geographe Bay,38.7,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,Yes,Ronen,Molly,Yes,,20200629,Brooke Gibbons & Claude,Lauren,Hayley ,17,18,Y,2,,,,,20220720,,29.06.20,Y,0.006974
13,-33.4502,115.0925,Fished,2014-12-09,13:41:00,2014-12-09T13:41:00+08:00,Geographe Bay,Geographe Bay,42.4,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,Yes,Ronen,Molly,Yes,,20200629,Brooke Gibbons & Claude,Lauren,Hayley ,21,22,Y,1,,,,,20220720,"BLUE HOUSING, FACING UP A BIT, CHECK",29.06.20,Y,0.006974
14,-33.5297,115.413,Fished,2014-12-13,05:56:00,2014-12-13T05:56:00+08:00,Geographe Bay,Geographe Bay,13.2,2,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,Yes,Lauren,Molly,Yes,,20200708,Brooke Gibbons & Claude,Lizzy,Logan,21,22,,4,,,,,20220720,,08.07.20,Y,0.065466
15,-33.5782,115.2148,Fished,2014-12-12,06:27:00,2014-12-12T06:27:00+08:00,Geographe Bay,Geographe Bay,26.2,2,Fished,Habitat Protection Zone,NA,Logan,Molly,Yes,Yes,Lauren,Molly,Yes,,20200708,Brooke Gibbons & Claude,laura,Logan,23,24,,4,,,,,20220720,,08.07.20,Y,0.065466
16,-33.3889,115.4986,Fished,2014-12-11,12:21:00,2014-12-11T12:21:00+08:00,Geographe Bay,Geographe Bay,20,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200629,Brooke Gibbons & Claude,Lauren,Hayley,25,26,Y,1,,,,,20220720,,29.06.20,,0.006974
17,-33.3636,115.2327,Fished,2014-12-10,13:27:00,2014-12-10T13:27:00+08:00,Geographe Bay,Geographe Bay,38.8,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Tamy,Molly,Yes,,20200630,Brooke Gibbons & Claude,Laura,Hayley,21,22,Y,2,,,,,20220720,,30.06.20,Y,0.006974
18,-33.3926,115.0981,Fished,2014-12-10,07:44:00,2014-12-10T07:44:00+08:00,Geographe Bay,Geographe Bay,42.4,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Ronen,Molly,Yes,,20200630,Brooke Gibbons & Claude,Lizzy,Hayley,23,24,Y,1,,,,,20220722,,30.06.20,Y,0.006974
19,-33.4605,115.3618,Fished,2014-12-13,10:33:00,2014-12-13T10:33:00+08:00,Geographe Bay,Geographe Bay,26,2,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,Yes,Lauren,Molly,Yes,,20200709,Brooke Gibbons & Claude,Lauren,Logan,19,20,,4,,,,,20220909,Snapper present,9.7.20,Y,0.006974
20,-33.4339,115.2221,Fished,2014-12-10,11:09:00,2014-12-10T11:09:00+08:00,Geographe Bay,Geographe Bay,36,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Ronen,Molly,Yes,,20200701,Brooke Gibbons & Claude,Laura,Hayley,5,6,Y,2,,,,,20220720,,1.7.20,,0.006974
21,-33.3857,115.3977,Fished,2014-12-14,06:54:00,2014-12-14T06:54:00+08:00,Geographe Bay,Geographe Bay,15.7,,Fished,Special Purpose Zone (Mining Exclusion),NA,,,No,No,Laura,,No,No videos,,,Lauren,,23,24,,BH,,,,,,,,,0.006974
22,-33.5746,115.1807,Fished,2014-12-09,07:10:00,2014-12-09T07:10:00+08:00,Geographe Bay,Geographe Bay,22.6,1,Fished,Multiple Use Zone,NA,test video,Molly,Yes,Yes,Ronen,Molly,Yes,,20220622,Claude,Lizzy,test video,17,18,Y,2,,,,,20220720,,,Y,0.006974
23_old,-33.5042,115.4289,Fished,2014-12-13,06:13:00,2014-12-13T06:13:00+08:00,Geographe Bay,Geographe Bay,13.6,1,Fished,Multiple Use Zone,NA,,,No,No,N/A,,No,Duplicate?,,,N/A,,17,18,,,,,,,,Facing up,,,0.065466
23,-33.5042,115.4289,Fished,2014-12-16,11:29:00,2014-12-16T11:29:00+08:00,Geographe Bay,Geographe Bay,13.6,1,Fished,Multiple Use Zone,NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200701,Brooke Gibbons & Claude,Lauren,Hayley,11,12,,3,,,,,20220720,,1.7.20,Y,0.065466
24,-33.4712,115.2862,Fished,2014-12-09,06:05:00,2014-12-09T06:05:00+08:00,Geographe Bay,Geographe Bay,29.2,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200701,Brooke Gibbons & Claude,Lizzy,Hayley,9,10,Y,1,,,,,20220720,,1.7.20,Y,0.006974
25,-33.3833,115.0828,Fished,2014-12-10,07:10:00,2014-12-10T07:10:00+08:00,Geographe Bay,Geographe Bay,42.5,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200702,Brooke Gibbons & Claude,Lauren,Hayley,19,20,Y,2,,,,,20220913,,2.7.20,,0.006974
26,-33.55,115.3236,Fished,2014-12-12,11:02:00,2014-12-12T11:02:00+08:00,Geographe Bay,Geographe Bay,20.5,1,Fished,Multiple Use Zone,NA,Hayley,Molly,Yes,Yes,Damo,Molly,Yes,,20200703,Brooke Gibbons & Claude,Laura,Hayley,9,10,,3,,,,,20220722,,3.7.20,Y,0.006974
27,-33.5464,115.1884,Fished,2014-12-09,07:00:00,2014-12-09T07:00:00+08:00,Geographe Bay,Geographe Bay,28.2,1,Fished,Multiple Use Zone,NA,Hayley,Molly,Yes,Yes,Ronen,Molly,Yes,,20200703,Brooke Gibbons & Claude,Lauren,Hayley,23,24,Y,1,,,,,20220801,1B=BLUE HOUSING,3.7.20,Y,0.006974
28,-33.4272,115.2873,Fished,2014-12-11,07:07:00,2014-12-11T07:07:00+08:00,Geographe Bay,Geographe Bay,34,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200703,Brooke Gibbons & Claude,Lizzy,Hayley,15,16,Y,2,,,,,20220722,,3.7.20,,0.006974
29,-33.487,115.1764,Fished,2014-12-09,10:30:00,2014-12-09T10:30:00+08:00,Geographe Bay,Geographe Bay,34.3,1,Fished,Multiple Use Zone,NA,Hayley,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200703,Logan Penman & Claude,Lauren,Hayley,23,24,Y,2,,,,,20220722,,3.7.20,Y,0.006974
30,-33.4241,115.3341,Fished,2014-12-11,06:37:00,2014-12-11T06:37:00+08:00,Geographe Bay,Geographe Bay,31.8,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lauren,Molly,Yes,,20200713,Logan Penman & Claude,Lizzy,Hayley,9,10,Y,2,,,,,20220722,,13.7.20,Y,0.006974
31,-33.5986,115.2369,Fished,2014-12-12,05:55:00,2014-12-12T05:55:00+08:00,Geographe Bay,Geographe Bay,26.3,2,Fished,Multiple Use Zone,NA,Logan,Molly,Yes,Yes,Lauren,Molly,Yes,,20200709,Brooke Gibbons & Claude,laura,Logan,15,16,,4,,,,,20220722,,9.7.20,,0.006974
32,-33.4808,115.4621,Fished,2014-12-13,07:53:00,2014-12-13T07:53:00+08:00,Geographe Bay,Geographe Bay,14.1,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200713,Logan Penman & Claude,Laura,Hayley,11,12,,3,,,,,20220722,,13.7.20,Y,0.006974
33,-33.3528,115.3205,Fished,2014-12-11,08:54:00,2014-12-11T08:54:00+08:00,Geographe Bay,Geographe Bay,34.1,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Molly,N/A,Yes,No,N/A,,Yes,,20220711,Claude,Lauren,Molly,13,14,R=FAIL,1L,,,,,,,,,0.006974
34,-33.3845,115.0739,Fished,2014-12-10,07:05:00,2014-12-10T07:05:00+08:00,Geographe Bay,Geographe Bay,43,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Lizzy,N/A,Yes,No,N/A,,Yes,,20220713,Claude,Lizzy,Curtin,5,6,Right=FAIL,2L,,,,,,,,,0.006974
35,-33.4055,115.4157,Fished,2014-12-13,11:14:00,2014-12-13T11:14:00+08:00,Geographe Bay,Geographe Bay,27.9,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200819,Brooke Gibbons & Claude,Lizzy,Logan,25,26,,5,,,,,20220801,,19.08.20,,0.006974
36,-33.4269,115.2077,Fished,2014-12-10,11:17:00,2014-12-10T11:17:00+08:00,Geographe Bay,Geographe Bay,38.2,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200713,Logan Penman & Claude,Laura,Hayley,13,14,Y,2,,,,,20220801,,13.7.20,,0.006974
37,-33.3585,115.3721,Fished,2014-12-11,09:11:00,2014-12-11T09:11:00+08:00,Geographe Bay,Geographe Bay,30.3,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200714,Logan Penman & Claude,Lizzy,Hayley,19,20,Y,1,,,,,20220909,,14.07.20,,0.006974
38,-33.5037,115.1274,Fished,2014-12-09,12:45:00,2014-12-09T12:45:00+08:00,Geographe Bay,Geographe Bay,34.5,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,Yes,Ronen,Molly,Yes,,20200716,Logan Penman & Claude,Lizzy,Hayley ,11,12,Y,1,,,,,20220801,,16.07.20,Y,0.006974
39,-33.465,115.4329,Fished,2014-12-11,13:20:00,2014-12-11T13:20:00+08:00,Geographe Bay,Geographe Bay,19.8,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200716,Logan Penman & Claude,Lizzy,Hayley,15,16,Y,1,,,,,20220801,,16.07.20,,0.006974
40,-33.472,115.2287,Fished,2014-12-09,09:57:00,2014-12-09T09:57:00+08:00,Geographe Bay,Geographe Bay,33.7,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200716,Logan Penman & Claude,Lauren,Hayley,19,20,Y,1,,,,,20220909,,16.07.20,,0.006974
41,-33.3679,115.0986,Fished,2014-12-10,07:35:00,2014-12-10T07:35:00+08:00,Geographe Bay,Geographe Bay,42.5,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Damo,Molly,Yes,,20200716,Logan Penman & Claude,Laura,Hayley,17,18,Y,1,,,,,20220801,,16.07.20,Y,0.006974
42,-33.5425,115.3862,No-take,2014-12-12,13:13:00,2014-12-12T13:13:00+08:00,Geographe Bay,Geographe Bay,13,2,No-take,National Park Zone,NA,Logan,Molly,Yes,No,Lauren,Molly,Yes,,20200713,Brooke Gibbons & Claude,laura,Logan,23,24,,4,,,,,20220801,,13.07.20,Y,0.006974
44,-33.3984,115.3097,Fished,2014-12-11,06:54:00,2014-12-11T06:54:00+08:00,Geographe Bay,Geographe Bay,34.4,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lauren,Molly,Yes,,20200717,Logan Penman & Claude,Lauren,Hayley,21,22,Y,2,,,,,20220801,,17.07.20,Y,0.006974
45,-33.4446,115.1317,Fished,2014-12-09,13:28:00,2014-12-09T13:28:00+08:00,Geographe Bay,Geographe Bay,41.1,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200717,Logan Penman & Claude,Lauren,Hayley,5,6,Y,1,,,,,20220801,,17.07.20,,0.006974
46,-33.4028,115.3493,Fished,2014-12-14,06:35:00,2014-12-14T06:35:00+08:00,Geographe Bay,Geographe Bay,18,,Fished,Special Purpose Zone (Mining Exclusion),NA,,,No,No,Laura,,No,No videos,,,Lauren,,19,20,,BH,,,,,,, ,,0.006974
47,-33.5485,115.2878,Fished,2014-12-12,10:29:00,2014-12-12T10:29:00+08:00,Geographe Bay,Geographe Bay,24.3,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,Yes,Laura,Molly,Yes,,20200717,Logan Penman & Claude,Lauren,Hayley ,15,16,,3,,,,,20220801,,17.07.20,,0.006974
48,-33.4028,115.5134,Fished,2014-12-11,12:31:00,2014-12-11T12:31:00+08:00,Geographe Bay,Geographe Bay,17.2,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lauren,Molly,Yes,,20200717,Logan Penman & Claude,Lizzy,Hayley,23,24,Y,2,,,,,20220802,Rear fail,17.07.20,Y,0.006974
49,-33.3809,115.2721,Fished,2014-12-10,13:51:00,2014-12-10T13:51:00+08:00,Geographe Bay,Geographe Bay,37.7,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Lizzy,Molly,Yes,,20200717,Logan Penman & Claude,Laura,Hayley,9,10,Y,2,,,,,20220802,,17.07.20,Y,0.006974
50,-33.4108,115.1742,Fished,2014-12-10,10:29:00,2014-12-10T10:29:00+08:00,Geographe Bay,Geographe Bay,40.5,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Lizzy,N/A,Yes,No,N/A,,Yes,,20220713,Claude,Lizzy,Curtin,17,18,R=FAIL WHEN HIT SEABED,2L,,,,,,,,,0.006974
51,-33.4316,115.4137,Fished,2014-12-13,10:52:00,2014-12-13T10:52:00+08:00,Geographe Bay,Geographe Bay,25.4,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Damon,N/A,Yes,No,N/A,,Yes,,20220707,Claude,Damon,,17,18,R=FAIL,,,,,,,Snapper come in late,,,0.006974
52,-33.4927,115.2982,Fished,2014-12-09,06:14:00,2014-12-09T06:14:00+08:00,Geographe Bay,Geographe Bay,29.7,3,Fished,Multiple Use Zone,NA,Lizzy,N/A,Yes,No,N/A,,Yes,,20220708,Claude,Lizzy,Curtin,19,20,L YES R FAIL,1 Left only,,,,,,,,,0.006974
53,-33.3582,115.3565,Fished,2014-12-11,09:04:00,2014-12-11T09:04:00+08:00,Geographe Bay,Geographe Bay,31.4,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Ronen,Molly,Yes,,20200719,Logan Penman & Claude,Lizzy,Hayley,21,22,Y,1,,,,,20220802,,19.07.20,Y,0.006974
54,-33.5131,115.1532,Fished,2014-12-09,10:47:00,2014-12-09T10:47:00+08:00,Geographe Bay,Geographe Bay,33.1,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,Yes,Laura,Molly,Yes,,20200719,Logan Penman & Claude,Lizzy,Hayley ,25,26,Y,1,,,,,20220802,,19.07.20,,0.006974
55,-33.5709,115.2801,Fished,2014-12-12,09:05:00,2014-12-12T09:05:00+08:00,Geographe Bay,Geographe Bay,22.2,1,Fished,Multiple Use Zone,NA,Hayley,Molly,Yes,No,Ronen,Molly,Yes,,20200719,Logan Penman & Claude,Lizzy,Hayley,15,16,,2,,,,,20220802,REAR FAIL,19.07.20,,0.006974
56,-33.4953,115.2224,Fished,2014-12-09,09:49:00,2014-12-09T09:49:00+08:00,Geographe Bay,Geographe Bay,32,3,Fished,Multiple Use Zone,NA,Lizzy,N/A,Yes,No,N/A,,Yes,,20220708,Claude,Lizzy,Curtin,5,6,Right = Fail,1 Left only,,,,,,,,,0.006974
58,-33.5697,115.3796,No-take,2014-12-12,13:02:00,2014-12-12T13:02:00+08:00,Geographe Bay,Geographe Bay,13.5,1,No-take,National Park Zone,NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200719,Logan Penman & Claude,Lauren,Hayley,25,26,,3,,,,,20220802,,19.07.20,,0.006974
60,-33.3626,115.5049,Fished,2014-12-11,09:55:00,2014-12-11T09:55:00+08:00,Geographe Bay,Geographe Bay,21.5,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,Yes,Laura,Molly,Yes,,20200720,Logan Penman & Claude,Lizzy,Hayley ,11,12,Y,1,,,,,20220802,,20.07.20,Y,0.006974
61,-33.4993,115.1345,Fished,2014-12-09,12:50:00,2014-12-09T12:50:00+08:00,Geographe Bay,Geographe Bay,34.8,1,Fished,Multiple Use Zone,NA,Hayley,Molly,Yes,Yes,Ronen,Molly,Yes,,20200720,Logan Penman & Claude,Lauren,Hayley,23,24,Y,1,,,,,20220802,,20.07.20,Y,0.006974
