"campaignid","sample","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","commonwealth.zone","status","broad.macroalgae","broad.seagrasses","broad.unconsolidated","broad.sponges","broad.consolidated","broad.stony.corals","broad.total.points.annotated","mean.relief","sd.relief"
"2007-2014-Geographe-stereo-BRUVs","MF-GB018",-33.60790427,115.1973991,"20070302","11:23:00","Geographe.Bay","Geographe.Bay","13",NA,"Yes","Yes",NA,NA,NA,"Fished",10,0,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB019",-33.6076042,115.2028047,"20070302","12:56:00","Geographe.Bay","Geographe.Bay","13",NA,"Yes","Yes",NA,NA,NA,"Fished",9,0,1,0,0,0,10,1.66666666666667,0.816496580927726
"2007-2014-Geographe-stereo-BRUVs","MF-GB036",-33.59150085,115.2475977,"20070302","13:34:00","Geographe.Bay","Geographe.Bay","18",NA,"Yes","Yes",NA,NA,"Multiple Use Zone","Fished",10,0,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB037",-33.59039751,115.2511973,"20070302","13:22:00","Geographe.Bay","Geographe.Bay","17",NA,"Yes","Yes",NA,NA,"Multiple Use Zone","Fished",10,0,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB044",-33.57129911,115.1604992,"20070302","15:26:00","Geographe.Bay","Geographe.Bay","25",NA,"Yes","Yes",NA,NA,NA,"Fished",5,0,5,0,0,0,10,1,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB047",-33.59060326,115.1982978,"20070302","13:04:00","Geographe.Bay","Geographe.Bay","19",NA,"Yes","Yes",NA,NA,"Multiple Use Zone","Fished",0,10,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB057",-33.57690392,115.1140983,"20070303","08:06:00","Geographe.Bay","Geographe.Bay","18",NA,"Yes","Yes",NA,NA,NA,"Fished",0,10,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB058",-33.57589923,115.1179985,"20070303","08:57:00","Geographe.Bay","Geographe.Bay","19",NA,"Yes","Yes",NA,NA,NA,"Fished",10,0,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB061",-33.58139618,115.1590998,"20070302","16:02:00","Geographe.Bay","Geographe.Bay","22",NA,"Yes","Yes",NA,NA,NA,"Fished",9,0,0,0,0,0,9,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB064",-33.58179718,115.1880948,"20070302","16:36:00","Geographe.Bay","Geographe.Bay","22",NA,"Yes","Yes",NA,NA,"Multiple Use Zone","Fished",0,6,0,0,0,0,6,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB074",-33.57319811,115.1164951,"20070303","09:02:00","Geographe.Bay","Geographe.Bay","20",NA,"Yes","Yes",NA,NA,NA,"Fished",2,0,8,0,0,0,10,0.9,0.737864787372622
"2007-2014-Geographe-stereo-BRUVs","MF-GB077",-33.56839999,115.1378959,"20070302","15:40:00","Geographe.Bay","Geographe.Bay","25",NA,"Yes","Yes",NA,NA,NA,"Fished",0,0,10,0,0,0,10,0.1,0.316227766016838
"2007-2014-Geographe-stereo-BRUVs","MF-GB080",-33.57639775,115.2168001,"20070302","14:11:00","Geographe.Bay","Geographe.Bay","23",NA,"Yes","Yes",NA,NA,"Habitat Protection Zone","Fished",0,8,2,0,0,0,10,1.6,0.843274042711568
"2007-2014-Geographe-stereo-BRUVs","MF-GB091",-33.55389636,115.1479006,"20070303","09:17:00","Geographe.Bay","Geographe.Bay","27",NA,"Yes","Yes",NA,NA,NA,"Fished",0,0,10,0,0,0,10,0,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB109",-33.55410455,115.0939042,"20070303","09:52:00","Geographe.Bay","Geographe.Bay","27",NA,"Yes","No",NA,NA,NA,"Fished",0,0,10,0,0,0,10,0,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB113",-33.56969737,115.2362963,"20070302","12:02:00","Geographe.Bay","Geographe.Bay","24",NA,"Yes","Yes",NA,NA,"Multiple Use Zone","Fished",14,0,0,1,0,0,15,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB128",-33.56540445,115.2369006,"20070302","12:12:00","Geographe.Bay","Geographe.Bay","24",NA,"Yes","No",NA,NA,"Multiple Use Zone","Fished",4,0,6,0,0,0,10,0,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB145",-33.54539738,115.1344049,"20070303","09:29:00","Geographe.Bay","Geographe.Bay","28",NA,"Yes","Yes",NA,NA,NA,"Fished",0,4,6,0,0,0,10,0.6,0.843274042711568
"2007-2014-Geographe-stereo-BRUVs","MF-GB168",-33.54850245,115.1340043,"20070303","09:24:00","Geographe.Bay","Geographe.Bay","29",NA,"Yes","Yes",NA,NA,NA,"Fished",0,0,10,0,0,0,10,0,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB192",-33.53959924,115.1130031,"20070303","10:55:00","Geographe.Bay","Geographe.Bay","31",NA,"Yes","Yes",NA,NA,NA,"Fished",0,0,10,0,0,0,10,0,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB199",-33.53719702,115.1109986,"20070303","10:59:00","Geographe.Bay","Geographe.Bay","30",NA,"Yes","Yes",NA,NA,NA,"Fished",0,10,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB221",-33.52649658,115.0889008,"20070303","11:15:00","Geographe.Bay","Geographe.Bay","33",NA,"Yes","Yes",NA,NA,NA,"Fished",0,0,10,0,0,0,10,0,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB228",-33.5245989,115.090396,"20070303","11:11:00","Geographe.Bay","Geographe.Bay","34",NA,"Yes","Yes",NA,NA,NA,"Fished",8,0,2,0,0,0,10,1.6,0.843274042711568
"2007-2014-Geographe-stereo-BRUVs","1",-33.3635,115.2142,"10/12/2014","13:20:00","Geographe Bay","Geographe Bay","40","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,20,0,0,0,20,1,0
"2007-2014-Geographe-stereo-BRUVs","2",-33.4405,115.101,"10/12/2014","6:29:00","Geographe Bay","Geographe Bay","40.5","Test video","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,7,7,0,0,14,2,0
"2007-2014-Geographe-stereo-BRUVs","3",-33.4921,115.3549,"13/12/2014","8:41:00","Geographe Bay","Geographe Bay","24.8","Hayley","Yes","Yes",NA,"3","Multiple Use Zone","Fished",0,0,20,0,0,0,20,2,0
"2007-2014-Geographe-stereo-BRUVs","4",-33.3921,115.2281,"10/12/2014","14:13:00","Geographe Bay","Geographe Bay","38.4","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,20,0,0,0,20,1,0
"2007-2014-Geographe-stereo-BRUVs","5",-33.3628,115.455,"11/12/2014","9:43:00","Geographe Bay","Geographe Bay","25.7","test video","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",2,2,15,0,0,0,19,1.4,0.516397779494322
"2007-2014-Geographe-stereo-BRUVs","6",-33.4071,115.1204,"10/12/2014","7:55:00","Geographe Bay","Geographe Bay","41.8","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,20,0,0,0,20,0,0
"2007-2014-Geographe-stereo-BRUVs","7",-33.4205,115.4457,"13/12/2014","11:04:00","Geographe Bay","Geographe Bay","23.2","Logan","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished",0,0,22,0,0,0,22,2,0
"2007-2014-Geographe-stereo-BRUVs","9",-33.3643,115.1361,"10/12/2014","10:04:00","Geographe Bay","Geographe Bay","41.8","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",10,0,10,0,0,0,20,1,0
"2007-2014-Geographe-stereo-BRUVs","10",-33.5282,115.3313,"12/12/2014","10:48:00","Geographe Bay","Geographe Bay","22.7","Hayley","Yes","Yes",NA,"1","Multiple Use Zone","Fished",3,9,7,0,0,0,19,1.6,0.50709255283711
"2007-2014-Geographe-stereo-BRUVs","11",-33.5712,115.2958,"12/12/2014","8:59:00","Geographe Bay","Geographe Bay","21.7","Hayley","Yes","Yes",NA,"2","Multiple Use Zone","Fished",1,15,4,0,0,0,20,1.7,0.483045891539648
"2007-2014-Geographe-stereo-BRUVs","12",-33.404,115.2616,"10/12/2014","14:00:00","Geographe Bay","Geographe Bay","38.7","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,21,0,0,0,21,2,0
"2007-2014-Geographe-stereo-BRUVs","13",-33.4502,115.0925,"9/12/2014","13:41:00","Geographe Bay","Geographe Bay","42.4","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,19,0,0,0,19,2,0
"2007-2014-Geographe-stereo-BRUVs","14",-33.5297,115.413,"13/12/2014","5:56:00","Geographe Bay","Geographe Bay","13.2","Logan","Yes","Yes",NA,"4","Multiple Use Zone","Fished",18,0,2,0,0,0,20,1.84615384615385,0.375533808099405
"2007-2014-Geographe-stereo-BRUVs","15",-33.5782,115.2148,"12/12/2014","6:27:00","Geographe Bay","Geographe Bay","26.2","Logan","Yes","Yes",NA,"4","Habitat Protection Zone","Fished",0,15,3,0,0,0,18,2,0
"2007-2014-Geographe-stereo-BRUVs","16",-33.3889,115.4986,"11/12/2014","12:21:00","Geographe Bay","Geographe Bay","20","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",14,6,0,0,0,0,20,2,0
"2007-2014-Geographe-stereo-BRUVs","17",-33.3636,115.2327,"10/12/2014","13:27:00","Geographe Bay","Geographe Bay","38.8","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",2,2,13,1,0,0,18,1.45454545454545,0.522232967867094
"2007-2014-Geographe-stereo-BRUVs","18",-33.3926,115.0981,"10/12/2014","7:44:00","Geographe Bay","Geographe Bay","42.4","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,15,0,0,0,15,1,0
"2007-2014-Geographe-stereo-BRUVs","19",-33.4605,115.3618,"13/12/2014","10:33:00","Geographe Bay","Geographe Bay","26","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished",0,2,20,0,0,0,22,1,0
"2007-2014-Geographe-stereo-BRUVs","20",-33.4339,115.2221,"10/12/2014","11:09:00","Geographe Bay","Geographe Bay","36","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,1,19,0,0,0,20,1,0
"2007-2014-Geographe-stereo-BRUVs","22",-33.5746,115.1807,"9/12/2014","7:10:00","Geographe Bay","Geographe Bay","22.6","test video","Yes","Yes",NA,"2","Multiple Use Zone","Fished",20,0,0,1,0,0,21,2,0
"2007-2014-Geographe-stereo-BRUVs","23",-33.5042,115.4289,"16/12/2014","11:29:00","Geographe Bay","Geographe Bay","13.6","Hayley","Yes","Yes",NA,"3","Multiple Use Zone","Fished",15,6,13,0,0,0,34,2,0
"2007-2014-Geographe-stereo-BRUVs","24",-33.4712,115.2862,"9/12/2014","6:05:00","Geographe Bay","Geographe Bay","29.2","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",3,0,18,0,0,0,21,1,0
"2007-2014-Geographe-stereo-BRUVs","25",-33.3833,115.0828,"10/12/2014","7:10:00","Geographe Bay","Geographe Bay","42.5","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,20,0,0,0,20,1,0
"2007-2014-Geographe-stereo-BRUVs","26",-33.55,115.3236,"12/12/2014","11:02:00","Geographe Bay","Geographe Bay","20.5","Hayley","Yes","Yes",NA,"3","Multiple Use Zone","Fished",12,8,1,0,0,0,21,2,0
"2007-2014-Geographe-stereo-BRUVs","27",-33.5464,115.1884,"9/12/2014","7:00:00","Geographe Bay","Geographe Bay","28.2","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished",0,0,10,0,0,0,10,1,0
"2007-2014-Geographe-stereo-BRUVs","28",-33.4272,115.2873,"11/12/2014","7:07:00","Geographe Bay","Geographe Bay","34","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",9,2,9,0,0,0,20,1.7,0.483045891539648
"2007-2014-Geographe-stereo-BRUVs","29",-33.487,115.1764,"9/12/2014","10:30:00","Geographe Bay","Geographe Bay","34.3","Hayley","Yes","Yes",NA,"2","Multiple Use Zone","Fished",14,2,0,4,0,0,20,2,0
"2007-2014-Geographe-stereo-BRUVs","30",-33.4241,115.3341,"11/12/2014","6:37:00","Geographe Bay","Geographe Bay","31.8","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,20,0,0,0,20,2,0
"2007-2014-Geographe-stereo-BRUVs","31",-33.5986,115.2369,"12/12/2014","5:55:00","Geographe Bay","Geographe Bay","26.3","Logan","Yes","Yes",NA,"4","Multiple Use Zone","Fished",0,0,22,0,0,0,22,1,0
"2007-2014-Geographe-stereo-BRUVs","32",-33.4808,115.4621,"13/12/2014","7:53:00","Geographe Bay","Geographe Bay","14.1","Hayley","Yes","Yes",NA,"3","Special Purpose Zone (Mining Exclusion)","Fished",2,21,0,0,0,0,23,2,0
"2007-2014-Geographe-stereo-BRUVs","33",-33.3528,115.3205,"11/12/2014","8:54:00","Geographe Bay","Geographe Bay","34.1","Molly","Yes","No",NA,"1L","Special Purpose Zone (Mining Exclusion)","Fished",11,3,7,1,0,0,22,1.7,0.483045891539648
"2007-2014-Geographe-stereo-BRUVs","34",-33.3845,115.0739,"10/12/2014","7:05:00","Geographe Bay","Geographe Bay","43","Curtin","Yes","No",NA,"2L","Special Purpose Zone (Mining Exclusion)","Fished",0,0,19,0,0,0,19,1,0
"2007-2014-Geographe-stereo-BRUVs","35",-33.4055,115.4157,"13/12/2014","11:14:00","Geographe Bay","Geographe Bay","27.9","Logan","Yes",NA,NA,"5","Special Purpose Zone (Mining Exclusion)","Fished",9,7,2,0,0,0,18,2,0
"2007-2014-Geographe-stereo-BRUVs","36",-33.4269,115.2077,"10/12/2014","11:17:00","Geographe Bay","Geographe Bay","38.2","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,20,0,0,0,20,2,0
"2007-2014-Geographe-stereo-BRUVs","37",-33.3585,115.3721,"11/12/2014","9:11:00","Geographe Bay","Geographe Bay","30.3","Hayley","Yes",NA,NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,24,0,0,0,24,1,0
"2007-2014-Geographe-stereo-BRUVs","38",-33.5037,115.1274,"9/12/2014","12:45:00","Geographe Bay","Geographe Bay","34.5","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished",0,0,19,0,0,0,19,2,0
"2007-2014-Geographe-stereo-BRUVs","39",-33.465,115.4329,"11/12/2014","13:20:00","Geographe Bay","Geographe Bay","19.8","Hayley","Yes",NA,NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",2,9,12,0,0,0,23,3,0
"2007-2014-Geographe-stereo-BRUVs","40",-33.472,115.2287,"9/12/2014","9:57:00","Geographe Bay","Geographe Bay","33.7","Hayley","Yes",NA,NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,22,0,0,0,22,2,0
"2007-2014-Geographe-stereo-BRUVs","41",-33.3679,115.0986,"10/12/2014","7:35:00","Geographe Bay","Geographe Bay","42.5","Hayley","Yes",NA,NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,23,0,0,0,23,2,0
"2007-2014-Geographe-stereo-BRUVs","42",-33.5425,115.3862,"12/12/2014","13:13:00","Geographe Bay","Geographe Bay","13","Logan","Yes",NA,NA,"4","National Park Zone","No-take",1,20,0,0,0,0,21,3,0
"2007-2014-Geographe-stereo-BRUVs","44",-33.3984,115.3097,"11/12/2014","6:54:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,2,16,0,0,0,18,2,0
"2007-2014-Geographe-stereo-BRUVs","45",-33.4446,115.1317,"9/12/2014","13:28:00","Geographe Bay","Geographe Bay","41.1","Hayley","Yes",NA,NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,17,0,0,0,17,2,0
"2007-2014-Geographe-stereo-BRUVs","47",-33.5485,115.2878,"12/12/2014","10:29:00","Geographe Bay","Geographe Bay","24.3","Hayley","Yes",NA,NA,"3","Multiple Use Zone","Fished",0,3,19,0,0,0,22,1.42857142857143,0.534522483824849
"2007-2014-Geographe-stereo-BRUVs","48",-33.4028,115.5134,"11/12/2014","12:31:00","Geographe Bay","Geographe Bay","17.2","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",11,4,0,0,0,0,15,3,0
"2007-2014-Geographe-stereo-BRUVs","49",-33.3809,115.2721,"10/12/2014","13:51:00","Geographe Bay","Geographe Bay","37.7","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,20,0,0,0,20,1,0
"2007-2014-Geographe-stereo-BRUVs","50",-33.4108,115.1742,"10/12/2014","10:29:00","Geographe Bay","Geographe Bay","40.5","Curtin","Yes","No",NA,"2L","Special Purpose Zone (Mining Exclusion)","Fished",0,23,0,1,0,0,24,3,0
"2007-2014-Geographe-stereo-BRUVs","51",-33.4316,115.4137,"13/12/2014","10:52:00","Geographe Bay","Geographe Bay","25.4",NA,"Yes","No",NA,NA,"Special Purpose Zone (Mining Exclusion)","Fished",19,1,4,1,0,0,25,3,0
"2007-2014-Geographe-stereo-BRUVs","52",-33.4927,115.2982,"9/12/2014","6:14:00","Geographe Bay","Geographe Bay","29.7","Curtin","Yes","No",NA,"1 Left only","Multiple Use Zone","Fished",0,0,23,0,0,0,23,2,0
"2007-2014-Geographe-stereo-BRUVs","53",-33.3582,115.3565,"11/12/2014","9:04:00","Geographe Bay","Geographe Bay","31.4","Hayley","Yes",NA,NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,20,0,0,0,20,1,0
"2007-2014-Geographe-stereo-BRUVs","54",-33.5131,115.1532,"9/12/2014","10:47:00","Geographe Bay","Geographe Bay","33.1","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished",0,10,10,1,0,0,21,1.2,0.421637021355784
"2007-2014-Geographe-stereo-BRUVs","55",-33.5709,115.2801,"12/12/2014","9:05:00","Geographe Bay","Geographe Bay","22.2","Hayley","Yes",NA,NA,"2","Multiple Use Zone","Fished",0,6,4,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","56",-33.4953,115.2224,"9/12/2014","9:49:00","Geographe Bay","Geographe Bay","32","Curtin","Yes","No",NA,"1 Left only","Multiple Use Zone","Fished",0,2,17,0,0,0,19,2,0
"2007-2014-Geographe-stereo-BRUVs","58",-33.5697,115.3796,"12/12/2014","13:02:00","Geographe Bay","Geographe Bay","13.5","Hayley","Yes",NA,NA,"3","National Park Zone","No-take",4,16,0,0,0,0,20,3,0
"2007-2014-Geographe-stereo-BRUVs","60",-33.3626,115.5049,"11/12/2014","9:55:00","Geographe Bay","Geographe Bay","21.5","Hayley","Yes",NA,NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",9,13,0,0,0,0,22,3,0
"2007-2014-Geographe-stereo-BRUVs","61",-33.4993,115.1345,"9/12/2014","12:50:00","Geographe Bay","Geographe Bay","34.8","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished",3,0,17,0,0,0,20,2,0
"2007-2014-Geographe-stereo-BRUVs","62",-33.4505,115.3307,"11/12/2014","6:24:00","Geographe Bay","Geographe Bay","29.3","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,16,0,0,0,16,1,0
"2007-2014-Geographe-stereo-BRUVs","63",-33.5039,115.2562,"9/12/2014","6:29:00","Geographe Bay","Geographe Bay","30","Hayley","Yes",NA,NA,"2","Multiple Use Zone","Fished",2,2,8,0,0,0,12,2,0
"2007-2014-Geographe-stereo-BRUVs","64",-33.4364,115.5095,"11/12/2014","12:54:00","Geographe Bay","Geographe Bay","14.2","Hayley","Yes",NA,NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",5,16,0,0,0,0,21,3,0
"2007-2014-Geographe-stereo-BRUVs","65",-33.3597,115.2048,"10/12/2014","13:15:00","Geographe Bay","Geographe Bay","39.4","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,22,0,0,0,22,2,0
"2007-2014-Geographe-stereo-BRUVs","67",-33.4783,115.0859,"13/12/2014","10:10:00","Geographe Bay","Geographe Bay","21.4","Hayley","Yes",NA,NA,"5","Special Purpose Zone (Mining Exclusion)","Fished",0,4,10,0,0,0,14,1,0
"2007-2014-Geographe-stereo-BRUVs","68",-33.3882,115.2426,"41983","0.588194444","Geographe Bay","Geographe Bay","38.9","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,17,0,0,0,17,2,0
"2007-2014-Geographe-stereo-BRUVs","69",-33.3534,115.404,"11/12/2014","9:23:00","Geographe Bay","Geographe Bay","28.7","Hayley","Yes",NA,NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,19,0,0,0,19,2,0
"2007-2014-Geographe-stereo-BRUVs","70",-33.4159,115.1514,"10/12/2014","10:46:00","Geographe Bay","Geographe Bay","41","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,21,0,0,0,21,2,0
"2007-2014-Geographe-stereo-BRUVs","71",-33.4271,115.4287,"13/12/2014","10:58:00","Geographe Bay","Geographe Bay","24.4","Logan","Yes",NA,NA,"5","Special Purpose Zone (Mining Exclusion)","Fished",20,0,0,0,0,0,20,3,0
"2007-2014-Geographe-stereo-BRUVs","72",-33.4625,115.3224,"11/12/2014","6:07:00","Geographe Bay","Geographe Bay","29.4","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,17,0,0,0,17,2,0
"2007-2014-Geographe-stereo-BRUVs","73",-33.3718,115.1456,"10/12/2014","10:10:00","Geographe Bay","Geographe Bay","41.5","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,20,0,0,0,20,1,0
"2007-2014-Geographe-stereo-BRUVs","75",-33.5893,115.2946,"12/12/2014","8:52:00","Geographe Bay","Geographe Bay","16.6","Hayley","Yes",NA,NA,"2","Multiple Use Zone","Fished",0,23,0,0,0,0,23,3,0
"2007-2014-Geographe-stereo-BRUVs","76",-33.413,115.2847,"11/12/2014","7:01:00","Geographe Bay","Geographe Bay","35.2","Hayley","Yes",NA,NA,"2","Special Purpose Zone (Mining Exclusion)","Fished",0,0,21,0,0,0,21,2,0
"2007-2014-Geographe-stereo-BRUVs","77",-33.4558,115.1029,"9/12/2014","13:50:00","Geographe Bay","Geographe Bay","40.8","Hayley","Yes",NA,NA,"1","Special Purpose Zone (Mining Exclusion)","Fished",0,0,10,0,0,0,10,1,0
"2007-2014-Geographe-stereo-BRUVs","78",-33.5076,115.4438,"13/12/2014","6:18:00","Geographe Bay","Geographe Bay","13.4","Logan","Yes",NA,NA,"4","Multiple Use Zone","Fished",16,7,0,0,0,0,23,3,0
"2007-2014-Geographe-stereo-BRUVs","79",-33.5874,115.2309,"12/12/2014","8:16:00","Geographe Bay","Geographe Bay","18.5","Hayley","Yes",NA,NA,"2","Habitat Protection Zone","Fished",2,0,18,0,0,0,20,2,0
